dia,infectados,removidos
160,2885.5893260042803,34435919.66177292
161,2599.02728363975,34436208.220705524
162,2340.9225219131554,34436468.12343388
163,2108.4491837948317,34436702.215686075
164,1899.0620025825106,34436913.06060445
165,1710.4684452069775,34437102.96680471
166,1540.603620316651,34437274.01364924
167,1387.6076768902342,34437428.074011266
168,1249.8054463011695,34437566.83477895
169,1125.6881052453182,34437691.81532359
170,1013.8966590086266,34437804.38413411
171,913.2070644332441,34437905.77380001
172,822.5168298540079,34437997.09450645
173,740.8329454166575,34438079.34618944
174,667.2610117298279,34438153.42948398
175,600.9954479027658,34438220.155585155
176,541.3106718223029,34438280.25512994
177,487.55315615430686,34438334.38619712
178,439.13427313242255,34438383.14151274
179,395.52384982473103,34438427.054940045
