dia,Zacatecas,Yucatán,Veracruz,Tlaxcala,Tamaulipas,Tabasco,Sonora,Sinaloa,San Luis Potosí,Quintana Roo,Querétaro,Puebla,Oaxaca,Nuevo León,Nayarit,Morelos,Michoacán,México,Jalisco,Hidalgo,Guerrero,Guanajuato,Durango,Ciudad de México,Colima,Coahuila,Chihuahua,Chiapas,Campeche,Baja California Sur,Baja California,Aguascalientes
16,0,0,64802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,96550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,143375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,211860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,310786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,451072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,644675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,901451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,1223014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,1594098,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,1975958,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
27,0,0,2310834,0,0,0,0,0,0,0,0,112,0,0,0,0,0,50,0,0,0,74,0,0,0,0,0,50,0,0,0,0
28,0,0,2543172,0,50,0,0,0,0,0,0,168,0,0,0,0,50,74,0,0,0,112,0,0,0,0,0,74,50,0,0,0
29,0,0,2646298,0,74,0,0,0,0,0,0,253,50,0,0,0,74,112,0,0,50,168,50,0,0,0,0,112,74,0,0,0
30,0,0,2631153,0,112,50,0,0,0,0,0,379,74,0,0,0,112,168,0,0,74,253,74,0,0,0,0,168,112,0,0,0
31,0,0,2531115,0,168,74,50,0,0,0,0,569,112,0,0,0,168,253,0,0,112,379,112,0,0,0,0,253,168,0,0,0
32,0,0,2381445,0,253,112,74,0,0,0,0,853,168,0,0,0,253,379,0,0,168,569,168,0,0,0,0,379,253,0,0,0
33,0,0,2208735,0,379,168,112,0,0,0,0,1279,253,0,0,0,379,569,0,0,253,853,253,0,0,0,0,569,379,0,0,0
34,0,0,2029840,0,569,253,168,0,0,0,0,1917,379,0,0,0,569,853,50,0,379,1279,379,0,0,0,0,854,569,0,0,0
35,0,0,1854404,0,853,379,253,0,0,0,0,2872,569,0,0,0,853,1278,74,0,569,1917,569,0,0,0,0,1280,853,0,0,0
36,0,50,1687517,0,1280,569,379,0,0,0,50,4301,853,0,0,50,1280,1916,112,0,853,2873,853,0,0,0,0,1920,1279,0,0,0
